"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.0198362490746884,0.357646568880972,0.00709436642103041
"Spawners",2,1,1,0.0388478218974042,0.304085123589875,0.0118130447228695
"Spawners",3,1,1,0.0844807061651768,0.286216720593782,0.0241797906720486
"Spawners",4,1,1,0.0705379404039112,0.30098744445224,0.0212310344190999
"Spawners",5,1,1,0.142476453506873,0.299915670378494,0.042730921066662
"Spawners",6,1,1,0.217850571611016,0.260669900447359,0.0567870868142453
"Spawners",7,1,1,0.126953071310436,0.255599536766861,0.0324491462180592
"Spawners",8,1,1,0.192892613057161,0.414227390910208,0.0799014038325223
"Spawners",9,1,1,0.0922428311118849,0.242719689952833,0.0223891513678462
"Spawners",10,1,1,0.0639853895627746,0.263009725923639,0.0168287797720164
"Spawners",11,1,1,0.192787467672005,0.262296370376737,0.0505674530244848
"Spawners",12,1,1,0.366559633511081,0.220579623114081,0.0808555858087669
"Spawners",13,1,1,0.140049497660059,0.220682692636934,0.0309065002460644
"Spawners",14,1,1,0.492328523929546,0.227407343848663,0.11195912192778
"Spawners",15,1,1,0.0817802866608516,0.226665043661969,0.0185367322466722
"Spawners",16,1,1,0.102048815114216,0.216943277500622,0.0221388044159358
"Spawners",17,1,1,0.463135741574354,0.250654327392959,0.11608697779598
"Spawners",18,1,1,0.0578426735378124,0.265572864812186,0.0153614445198343
"Spawners",19,1,1,0.108074489547119,0.258992997136179,0.0279905359617668
"Spawners",20,1,1,0.121477175448453,0.225047343942657,0.0273381156843306
"Spawners",21,1,1,0.114538921270703,0.86362274604072,0.0989184177163485
"Juveniles",1,1,1,0.652816592288876,0.66771050295069,0.435892495172159
"Juveniles",2,1,1,0.2784693382261,0.682760307390046,0.190127810965161
"Juveniles",3,1,1,0.251136323516524,0.80566958449424,0.202332897419305
"Juveniles",4,1,1,2.29890395117676,0.852673646866398,1.96021481583954
"Juveniles",5,1,1,1.11219218156218,0.638608784340174,0.710255697022515
"Juveniles",6,1,1,1.01297833005343,0.654689029450794,0.663185799754605
"Juveniles",7,1,1,1.7462248070039,0.676635293983243,1.18155733564434
"Juveniles",8,1,1,2.29906621686345,0.52722248443323,1.21211940272935
"Juveniles",9,1,1,0.590251642656949,0.517447608623537,0.30542430098208
"Juveniles",10,1,1,2.4202482305642,0.52591019258765,1.27283321305293
"Juveniles",11,1,1,1.69973323509123,0.551488055308663,0.93738257635393
"Juveniles",12,1,1,1.58091640282288,0.814599182358144,1.2878132091104
"Juveniles",13,1,1,2.7323730662628,0.682555247797508,1.86499557531318
"Juveniles",14,1,1,1.86494191058605,0.72939529560869,1.36027985616696
"Juveniles",15,1,1,1.25525373623927,0.963648192906026,1.20962299456748
"Juveniles",16,1,1,1.26779349744662,0.716800289485137,0.908754745979553
"Juveniles",17,1,1,2.54314746328207,0.794353545979117,2.02015820526745
"Juveniles",18,1,1,1.091424489367,0.770061121203318,0.840463565993883
"Juveniles",19,1,1,1.51738841487854,0.701821222303295,1.06493539203676
"Juveniles",20,1,1,0.918228096836701,0.821477440861972,0.754303667118014
"Juveniles",21,1,1,1.96743123588759,0.834406810604862,1.64163802262768
