"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1998,1,1,72.6720609140133,0.624027168683119,45.3493404145157
1999,1,1,22.3595547865172,0.692675882970997,15.4879243546661
2000,1,1,16.0775640405221,0.811130541193046,13.0410032213274
2001,1,1,219.96956666918,0.929491983923849,204.459948929037
2002,1,1,81.5392398463225,0.654016060464964,53.3279724177651
2003,1,1,54.0213811896068,0.697052587132348,37.6557435187734
2004,1,1,162.320638769953,0.650323199050981,105.560877076437
2005,1,1,140.758419779708,0.531724593635208,74.8447135584922
2006,1,1,41.8329377558957,0.483121528118616,20.21039281468
2007,1,1,169.418507999072,0.536794922666355,90.9429948989449
2008,1,1,124.872771780315,0.525967508301528,65.6790206279865
2009,1,1,163.528876318624,0.889230479467335,145.414861096217
2010,1,1,258.147014137374,0.729814127478272,188.399337882588
2011,1,1,165.539445906495,0.749161910982338,124.015847637727
2012,1,1,105.737606134166,1.05044629343095,111.071676439394
2013,1,1,141.590526526037,0.760130621865292,107.627294978423
2014,1,1,296.701431904569,0.827079151845071,245.395568648379
2015,1,1,135.679347852328,0.703153101194138,95.4033542105757
2016,1,1,118.248946096669,0.752670549488164,89.0024992353658
2017,1,1,83.5066515052492,0.885005434980923,73.9038404391766
2018,1,1,151.632705146205,0.903922672371927,137.064240054221
