"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1998,1,1,1.07840820995846,0.389695450642503,0.420250773356342
"Spawners",1999,1,1,2.03970003000226,0.329273336409064,0.671618834152615
"Spawners",2000,1,1,4.9304979500379,0.300416748986295,1.4812041650334
"Spawners",2001,1,1,3.25518505833822,0.316181699233736,1.02922994306556
"Spawners",2002,1,1,6.96953606582972,0.328041998702553,2.28630054106428
"Spawners",2003,1,1,10.0326906077783,0.270088634657651,2.70971570819638
"Spawners",2004,1,1,6.17519542103789,0.284726619612082,1.75824251767597
"Spawners",2005,1,1,5.44304867084306,0.57529153318991,3.13133981507661
"Spawners",2006,1,1,4.4960928722713,0.257991462259769,1.15995357457292
"Spawners",2007,1,1,3.06641489002893,0.295425124409053,0.905896000376887
"Spawners",2008,1,1,8.02831231336772,0.312041065408037,2.50516312769187
"Spawners",2009,1,1,18.7052646360885,0.255302002377495,4.775491516592
"Spawners",2010,1,1,7.09154990458382,0.250150671618477,1.7739559714471
"Spawners",2011,1,1,23.1181139879368,0.252204522096593,5.83049289010224
"Spawners",2012,1,1,4.5189064543798,0.244211508448317,1.10356896176064
"Spawners",2013,1,1,5.47559888549819,0.245519661330199,1.34436718394737
"Spawners",2014,1,1,22.1885123228861,0.26729295891517,5.93083311271044
"Spawners",2015,1,1,3.01742279128434,0.306031770625044,0.92342723954127
"Spawners",2016,1,1,5.41733884625168,0.282731566741183,1.53165269956864
"Spawners",2017,1,1,5.68004855692717,0.240941311445307,1.36855834837907
"Spawners",2018,1,1,5.57026162712811,0.833050637118823,4.64030999739758
"Juveniles",1998,1,1,39.5227837589268,0.646436351749036,25.5489641441674
"Juveniles",1999,1,1,17.2696853732922,0.843384387362359,14.5649830184021
"Juveniles",2000,1,1,14.7526068000534,0.966058283635454,14.2518780044031
"Juveniles",2001,1,1,71.9059611255959,0.867751762013046,62.3965244645886
"Juveniles",2002,1,1,33.6509299341143,0.715220581104314,24.0678376620477
"Juveniles",2003,1,1,31.5265965477039,0.71820876583828,22.6426779975477
"Juveniles",2004,1,1,59.7735293689513,0.714423180332939,42.7035949513966
"Juveniles",2005,1,1,58.1998999474105,0.615330639500487,35.8121816537733
"Juveniles",2006,1,1,39.202618015006,0.545984928102041,21.4040385785376
"Juveniles",2007,1,1,65.4598227545801,0.596155581907447,39.0242387258624
"Juveniles",2008,1,1,56.1127530166354,0.588745467064437,33.0361289831854
"Juveniles",2009,1,1,64.6281827930437,0.852445667326671,55.0920144092955
"Juveniles",2010,1,1,80.6722842399247,0.826125849740936,66.6454593682719
"Juveniles",2011,1,1,69.8447422997115,0.864665463870756,60.3923364994461
"Juveniles",2012,1,1,46.2096125821466,0.833174364214541,38.5006645837511
"Juveniles",2013,1,1,52.8545831206052,0.714420584987602,37.7604021924413
"Juveniles",2014,1,1,44.9963796697524,0.838345909427688,37.72253083523
"Juveniles",2015,1,1,50.5960023250607,0.672300677097308,34.0157266214084
"Juveniles",2016,1,1,56.5074002855363,0.711924741736299,40.2290163543172
"Juveniles",2017,1,1,40.3781442437071,0.76596460056233,30.9282291269827
"Juveniles",2018,1,1,45.6121842492222,0.837930746944733,38.2198516176856
