"Category","Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
"Spawners",1,1,1,0.0198730089573105,0.357184438725811,0.00709832955021031
"Spawners",2,1,1,0.0389408539990085,0.303659626458569,0.011824765179314
"Spawners",3,1,1,0.0847446026291901,0.285727780792437,0.0242138872433787
"Spawners",4,1,1,0.0706959966576338,0.300367027765165,0.0212347463909502
"Spawners",5,1,1,0.142907701462144,0.299463301099115,0.042795612032341
"Spawners",6,1,1,0.220454291114618,0.254293163555546,0.0560600191069466
"Spawners",7,1,1,0.127275210381465,0.255188071736568,0.0324791155171429
"Spawners",8,1,1,0.193399592797744,0.413527855865111,0.079976118934782
"Spawners",9,1,1,0.0924949899825245,0.242222399059914,0.022404358374583
"Spawners",10,1,1,0.0641105151716295,0.262583535424848,0.0168343657316706
"Spawners",11,1,1,0.193295175423763,0.26180053521447,0.0506047803803182
"Spawners",12,1,1,0.367264354704745,0.220201549432745,0.0808721799574243
"Spawners",13,1,1,0.140387440776564,0.220384322015286,0.0309391909550164
"Spawners",14,1,1,0.493806122822558,0.226951595196177,0.112070087292202
"Spawners",15,1,1,0.0819206754641676,0.226308039725364,0.0185393074772775
"Spawners",16,1,1,0.102371533802859,0.216575185108977,0.0221711338832391
"Spawners",17,1,1,0.463527642959569,0.249993804596304,0.115879038999028
"Spawners",18,1,1,0.057930387213556,0.265136303793513,0.0153594487431282
"Spawners",19,1,1,0.10836020401166,0.258587323961301,0.0280205751792816
"Spawners",20,1,1,0.121832612523122,0.224666912744637,0.0273717569271859
"Spawners",21,1,1,0.114865867663901,0.863728767209395,0.0992129542717788
"Juveniles",1,1,1,0.65293804488201,0.667530272821258,0.435855911235838
"Juveniles",2,1,1,0.278270823941544,0.682986872647281,0.190055319792899
"Juveniles",3,1,1,0.25160593477268,0.806176318468819,0.202838746199527
"Juveniles",4,1,1,2.29196308622596,0.852089059538134,1.95295667064403
"Juveniles",5,1,1,1.10993696564017,0.63831755784467,0.708492253273653
"Juveniles",6,1,1,1.01232973998238,0.654554727408729,0.662625217003825
"Juveniles",7,1,1,1.74373836049393,0.676294893757006,1.17928134925593
"Juveniles",8,1,1,2.29735774440766,0.527320767361663,1.2114444486832
"Juveniles",9,1,1,0.59034597176502,0.517606532085169,0.305566931162012
"Juveniles",10,1,1,2.4148478511154,0.525905439078415,1.26998161942999
"Juveniles",11,1,1,1.69952942222009,0.551410388921028,0.937138179695953
"Juveniles",12,1,1,1.57914112125571,0.814101540489924,1.28558121947145
"Juveniles",13,1,1,2.72167263501086,0.682588501686718,1.85778244600694
"Juveniles",14,1,1,1.86268669910206,0.729044351176174,1.35798121598093
"Juveniles",15,1,1,1.25372517845567,0.962721221435035,1.20698783514835
"Juveniles",16,1,1,1.26554843904735,0.716364526514728,0.906594008315708
"Juveniles",17,1,1,2.53668094038136,0.793930685244181,2.01394883702493
"Juveniles",18,1,1,1.08731424820655,0.769063437998615,0.83621363391052
"Juveniles",19,1,1,1.51724885534889,0.70155740797784,1.06443717421773
"Juveniles",20,1,1,0.918437564074648,0.820887350826196,0.753933778870586
"Juveniles",21,1,1,1.96467949297296,0.83382509776197,1.6381990702954
