"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1,1,1,43.9576412098319,0.659602395673928,28.9945654502384
2,1,1,20.9261411131516,0.657535271797116,13.7596758844806
3,1,1,14.4677499270715,0.763091085161148,11.040210991625
4,1,1,221.489790462562,0.895726142759217,198.394195670308
5,1,1,87.6859340885416,0.633963939590058,55.5897202213919
6,1,1,74.4146090123812,0.657846715662749,48.953406136242
7,1,1,121.004362770897,0.52966565240173,64.0918547504871
8,1,1,160.897240785677,0.514026635293097,82.7054673080445
9,1,1,41.4926232989121,0.409971230055073,17.0107818119978
10,1,1,198.657389305485,0.527673598233981,104.826259431667
11,1,1,124.603473367938,0.512922470169102,63.9119213521317
12,1,1,124.828532331522,0.845784552659012,105.578044375974
13,1,1,261.113371982178,0.678525548950782,177.172094060681
14,1,1,128.527012144479,0.720286759610018,92.5763050994901
15,1,1,95.4399667585091,1.03049233220839,98.3501539307222
16,1,1,111.052495855977,0.735713165336202,81.7027832446266
17,1,1,228.880251911995,0.822915971617391,188.349214887675
18,1,1,78.4238883300777,0.784143477567233,61.4955805196656
19,1,1,105.638064333428,0.71061351544461,75.0678362610215
20,1,1,67.3526141602135,0.853759953780402,57.5029647523075
21,1,1,172.105616177807,0.923612422263002,158.958885042236
